Premise,Entailment,Neutral (non-sequitor),Contradiction,Creative contradiction
Religion is the opiate of masse.,Religion is the control of the people.,Opiates are prescribed to relieve acute pain.,Religion is the chaos of the people,
"No one knows where Gatsby came from, but he was surely swimming in money.","No one knows where Gatsby came from, but he surely had a lot of money.",A duck was swimming alone in the river.,"No one knows where Gatsby came from, but he had no money",
"Julia is shy but when it comes to fashion business, she's a war machine.","Julia is shy but when it comes to fashion business, she's a hard worker.",Catapults are an old war machine.,"Julia is shy but when it comes to fashion business, she's a lazy worker",
The story hit the web and inflamed the chat sites.,The story hit the web and created excitement on the chat sites.,"By the time I looked at the fire, it had inflamed the trees.",The story hit the web and created boredom,
"By the time Alf finishes that story, his beard will be three inches longer.","By the time Alf finishes his story, a lot of time will have passed.","In a few months, his beard will be three inches longer.","By the time Alf finishes the story, very little time will have passed.",
Punctuality is the soul of business.,Punctuality is a crucial aspect of business.,Alchemists considered volatile oils to be the soul of a plant.,Punctuality is an inconsequnential aspect of business,
"At no point in my life I'll say ""never"".  ","I avoid saying ""never"" at any point in my life.",Never share a needle or syringe if you're injecting drugs.,"I avoid saying ""always"" at any point in my life.",
She gave a deadly glare at the people making fun of her.,She gave a mean glare at the people making fun of her.,The invasion was deadly.,She gave a soft glare at the people making fun of her.,
It's hot enough to fry an egg on the sidewalk.,It's very hot.,Kids should stop sliding on the sidewalk.,It's very cold,
He's leaping up and on the bed with such force he'll be catapulted through the roof.,He's leaping up and on the bed too vigorously.,The stone was catapulted through the roof of the castle.,He's leaping up and on the bed too languidly ,
Needs must when the devil drives.,Needs must when you are being desperate.,The devil drives to consider new opportunities.,Needs must when when you are being hopeful,
Get a deep knowledge of that world which is man.,Get a deep knowledge of that complex being which is man.,Regimes around the world were using new methods of repression.,Get a deep knowledge of that simple being which is man,Get a deep knowledge of that mostly harmless being which is man
The air I breathe in a room empty of you is unhealthy.,I can't stand being away from you.,Clinical obesity is unhealthy.,I can't stand being close to you,
I've drowned myself trying to help you.,I've sacrificed a lot to help you.,I almost drowned myself in the lake.,I've gained a lot to help you.,
She spilled the wine on the table...this is a catastrophe!,She spilled the wine on the table...this is unfortunate!,Survivors informed us about the catastrophe.,She spilled the wine on the table...this is fortuante,
"I mean, you have the kind of talent that I would chop off my head to have.","I mean, you have the kind of talent that I admire.",The criminal had previously tried to chop off my hand.,"I mean, you have the kind of talent that I dislike",
They were gone in no time.,They were gone quickly.,The operation results in no time limits being applicable.,They were gone slowly,
He only has garbage in his brain.,He only has bad thoughts in his brain.,Garbage littered the streets.,he only has good thoughts in his brain.,
There was a magical atmosphere.,There was a pleasant atmosphere.,There are magical creatures in the tale.,There was a unplesant atmosphere,
The new shampoo is ten times better than the other.,The new shampoo is much better than the other.,The accuracy of the new algorithm is ten times better than the old.,the old shampoo is better than the other.,
"When spectre-like, I enter alone upon the stubble field.","When pale and silent, I enter alone upon the stubble field.",Spectre-like shadows were cast through the window.,"When colourful and loud, I enter alone upon the stubble field.",
"Sorry, I forgot my head at home.","Sorry, I'm unfocused.",He caressed my head.,"Sorry, I am focused",
"I've been reading ""The little prince"" since I was knee-high to a grasshopper.  ","I've been reading ""The little prince"" since I was a kid.",The grass is slowly growing. Now it is probably knee-high to a grasshopper.,"I've been reading ""The little prince"" since I was an adult",
"Nate discovered the reason why she's still single, despite a legion of suitors.","Nate discovered the reason why she's still single, despite many suitors.",A legion of policemen was present.,"Nate discovered the reason why she's still single, not a single suitor",
His version of the facts is infinitely more convincing.,His version of the facts is much more convincing.,The set of even numbers is an infinitely large.,His version of the facts is much less convincing,
My whole sense of being had been shattered by an emotional earthquake.,My whole sense of being had been shattered by an emotional shock.,An earthquake destroyed buildings.,My whole sense of being had been mended by an emotional shock,
There's no index and the story isn't linear: this book is illegible.,There's no index and the story isn't linear: this book is poorly written.,The signature was so faded that it was illegible.,There's no index and the story isn't linear: this book is excellently written,
The most fun you'll ever have.,You'll have a great fun.,This Lamborghini is the most expensive car you'll ever have.,You'll have no fun.,
One picture is worth ten thousand words.,One picture is sufficient to convey so much!,The first day he wrote ten thousand words.,One picture is inadequate to convey so much,
I'm scared the spider will anaesthetize my legs and start chomping them.,I'm scared the spider will anaesthetize my legs and start biting them.,I open the marshmallow bag and start chomping them down.,I'm scared the spider will anaesthetize my legs and start releasing them,
"March comes in like a lion, and goes out like a lamb.",March comes in fiercely and goes out meekly.,"This tiger is big like a lion, and white as a lamb.",March comes in meekly and goes out fiercely ,
What she touches turns to gold.,What she touches becomes of value or blessed.,"At this point, the potion of the alchemist turns to gold.",What she touches becomes worthless and cursed,
John's new idea is a theoretical diamond.,John's new idea is very valuable.,He has a tattoo of a diamond on the first finger.,John's new idea is worthless. ,
Not a word of it made sense.,Not much of it made sense.,Not a word was spoken in those final seconds.,Every word of it made sense.,
I would eat pizza at every moment.,I would eat pizza often.,The nation seems to be threatened by civil war at every moment.,I would eat pizza rarely,
The chance of your friend seeing us is astronomically small.,The chance of your friend seeing us is very small.,Black holes are particularly interesting astronomically.,The chance of your friend seeing us is pretty large,
After lunch I was full to overflowing.,After lunch I was very full.,Show him the folder overflowing with letters.,After lunch I was very empty,
"At that point, the presidency was fatally wounded.","At that point, the presidency was hard to recover.",The pilot was fatally wounded.,"At that point, the presidency was easy to mend",
She has a magic touch I mean she fixes my problems.,She is very helpful I mean she fixes my problems.,"By the magic touch of his wand, the different castes of men shall be sorted.","She is very hindering, I mean she fixes my problems.",
This is honestly the best seasoning salt in all the land.,This is very nice seasoning salt.,Years of abundance was coming in all the land of Egypt.,This is very unpleasant seasoning salt.,
The crowd was enchanted by the performance.,The crowd was delighted by the performance.,A wicked witch enchanted the princess.,The crowd was turned off by the performance.,
You're a grumpy bear.,You're grumpy.,His son would like to adopt a bear.,You're glad,
He lost his shirt in the stock market.,He lost all his money in the stock market.,He lost his shirt in the crowd.,he gained all his money in the stock market.,
Manners make the man.,Manners are an important aspect of being a man.,Time and experience will make a man of him.,Manners are a trival aspect of being a man,
Football is all he cares about.,Football is the thing he cares about the most.,All he wants to read is comics.,Football is the thing he cares about the least,
"I resign from humanity. I no longer want to be, nor can still be, a man.","I can't stand being a human. I no longer want to be, nor can still be, a man.",I resign from my job.,"I adore being a human. I no longer want to be, nor can still be, a man.",
Living under my parents' control is a damnation!,Living under my parents' control is awful!,The text is about the damnation of those who ignore morality.,Living under my parents' control is fantastic ,
Kilometric line at the cashier.,A long line at the cashier.,Archaeologists uncovered a kilometric line of constructions.,Short line line at the cashier.,
My nephew is moving heaven and earth.,My nephew is making huge efforts.,Heaven and earth are two opposing spheres.,My nephew is weak efforts,
She thinks avocado tastes like compost heaps.,She thinks avocado tastes terrible.,The room where the old man lived smelled like compost heap.,She thinks avocado tastes delicious,
The pain was unendurable.,The pain was excruciating.,"I mean, kids are almost unendurable!",The pain was neglgible ,
Satisfaction floods into my veins.,Satisfaction pleases me.,I received the transfusion. My father's blood now floods into my veins.,Satisfaction annoyes me,
The level of discombobulation in the realm of global politics is simply colossal.,The level of discombobulation in the realm of global politics is very high.,The stone temple was simply colossal.,The level of discombobulation in the realm of global politics is very low,
John has a divine smile.,John has a nice smile.,The nation is to represent the divine order established by God.,John has a gross smile,
Sky is falling.,Disaster is imminent.,The kite is falling.,disater is postoned,
My ex boyfriend! Treacherous snake,My ex boyfriend! Treacherous person!,A treacherous snake was slithering through my legs.,My ex boyfriend! Loyal person!,My ex Boyriend. Loyal Steed!
Sacrificed my french fries to his monstrous appetite.,Sacrificed my french fries to his hunger.,Monstrous beings are frequent in myths.,Sacrificed my french fries to his satiatiedness,
I'm speechless!,I am without many words.,Even speechless animals show anger.,I'm bursting with words,
When the girl lost her puppy she cried an ocean of tears.,When the girl lost her puppy she cried many tears.,Here you get the real feel of the ocean.,When the girl lost her puppy she cried few tears,
My spirit is crying for leaving.,I want to leave badly.,I was crying for leaving my home.,I really don't want to leave,
"I can't breathe, there are mountains of dust here.","I can't breathe, there is a lot of dust here.",There are mountains nearby.,"I can't breathe, there there\s too little dust here.",
That child is getting into a whole world of trouble.,That child is getting into a lot of trouble.,Alice followed the rabbit and reached a whole world of different creatures.,That child is getting more relaxed,
The eye of a master does more work than both his hands.,The eye of a master is expert.,Anna does more work than both of you,The eye of a master unskilled.,
In that library they have forests of books.,In that library they have a lot of books.,It is in his interest to chop down our forests.,In that library they have no books.,
"Love, love, love these!",Love these very much!,I love you my dear.,I don't love these.,
He thinks that the affectual bonds prevalent in the older world has been pulverized by modernity.,He thinks that the affectual bonds prevalent in the older world has been lessened by modernity.,He threw the pulverized contents into the air.,He thinks that the affectual bonds prevalent in the older world has been increased by modernity.,
Knowledge without conscience is but the ruin of the soul.,Knowledge without conscience would have a deleterious effect on your soul.,Faulty politics lead to the ruin of the country.,Knowledge without conscience would have a healing effect on your soul.,
Your shoes can buy a bungalow.,Your shoes are expensive.,You can buy a Bungalow in the historic district.,Your shoes are cheap,
"When I was young, my family was my universe.","When I was young, my family was my role model.",A harmonious rapport exists between mankind and the universe.,"When I was young, my family did not mean a lot to me",
Illusion is the ultimate weapon.,Illusion is a powerful tool.,The Tsar's ultimate weapon was his army.,Illusion is meaningless,
The little girl was drowning in her tears.,The little girl was crying a lot.,The little girl was drowning in the lake.,The little girl was happy and didn't cry,
I'm living on bread and water.,I'm living on very little.,Poor people here are living on bread and water.,I'm living with high expenses,
He groaned as if he was being crushed.,He groaned as if he was hurt.,My body was being crushed by a truck.,He groaned as if he was having a nice time,
He put loads and loads of cream on his cake.,He put lots of cream on his cake.,You see caravans delivering loads of water.,He put a little cream on his cake.,
Newspapers only contain garbage and dirt.,Newspapers only contain bad information.,Garbage and dirt accumulate in residential areas.,Newspapers only contain positive information,
He is just building castles in the air if he does not take any action.,He is just being fanciful if he does not take any action.,Building castles on the top of hills makes them safe.,He is really moving onwards if he does not take any action.,
I apologized like a madman.,I apologized profusely.,The murderer was clearly a madman.,I apologized only a little bit,
My powers are beyond your mortal imagination.,My powers are difficult to understand.,My house is beyond the wall.,My powers are not very strong,
"I now embrace ""Hollywood"" endings, but there was a time when I genuflected to kill-offs. ","I now embrace ""Hollywood"" endings, but there was a time when I liked kill-offs.",I genuflected to the tabernacle and left the church.,"I now embrace ""Hollywood"" endings, but there was a time when I did not like when something dramatic happened",
The minister is going to wreck the country with his budget cuts.,The minister is going to harm the country with his budget cuts.,They're going to wreck the machines.,The country will not be negatively affected with his budget cuts.,
"He had a great reputation as an orator, and is characterized by Ennius as ""the quintessence of persuasiveness"".    ","He had a great reputation as an orator, and is characterized by Ennius as the example of persuasiveness.",Abnegation is often regarded as the quintessence of love.,"He had a bad reputation as an orator, and is characterized by not being able to persuade people",
I have a horrible face today.,My face is definitely not at my best today.,Gargoyles have a horrible face.,I look pretty today.,
This is how to be irresistible to women.,This is how to be attractive to women.,Social change occurs when irresistible forces come from outside.,This is how to be a non-attractive women,
The secretary was pounding the keyboard trying to finish the report.,The secretary was hitting the keyboard trying to finish the report.,She was pounding the hammer against the iron bars.,The secretary was very gentle on the keyboard trying to finish the report.,
I simply fell in love with these chips and refused to share them with my friends.,I liked these chips and refused to share them with my friends.,I soon fell in love with his friend.,I really don't like these chips and it would be good if my friends would eat them.,
It's all top secret and now everybody's walking on eggshells.,It's all top secret and now everybody's trying to be careful.,"When you walked on the cracky floor, it sounded like you were walking on eggshells.",It's completely out in the open ,
They witnessed a paradise revealed on this very same earth.,They witnessed a beautiful place on this very same earth.,He thought a place awaited him in paradise.,They witnessed a boring and ugly place on this very same earth.,
It is the last straw that breaks the camel's back.,The last thing makes everything worse.,A cargo of four hundred kilos breaks the camel's back.,The last thing does not make the big difference,
I am trying to solve a million issues these days.,I am trying to solve many issues these days.,They implemented a system that can solve a million issues.,I am trying to solve only a few issues these days,
Their latest album blasted its way up the charts.,Their latest album quickly moved up the charts.,They had blasted their way with dynamite.,Their latest album was not heard by many people,
It's raining cats and dogs.,It's raining hard.,Cats and dogs are not allowed in the sandpit.,It's raining very gently,
Saying the entire campaign is ill-informed because you disagree with one point is throwing out the baby with the bathwater.,Saying the entire campaign is ill-informed because you disagree with one point is losing valuable things to get rid of what is not wanted.,The mother had the intention of throwing the baby out of the window.,Saying the entire campaign is ill-informed because you disagree with one point is a wise thing to claim,
Everybody's eyes are as large as saucers.,Everybody's eyes are very big.,"Many mushrooms had sprouted, which were as large as saucers.",Everybody's eyes are small,
Dad went ballistic when he saw the dent in his car.,Dad became very angry when he saw the dent in his car.,Ballistic missile defence programmes were reinforced.,Dad did not care when he saw the dent in his car.,
Granma was a harsh school girl who made kids behave. She was a real paint-remover.,Granma was a harsh school girl who made kids behave. She was a real strict person.,You should clean the wall with a real paint-remover.,Granma was a harsh school girl who made kids behave. She was a very gentle person,
The lesson was taking forever.,The lesson was taking a long time.,I won't be a tourist forever.,The lesson was short.,
The cream you bought will last for centuries.,The cream you bought will last for a long time.,I am studying the literature of the last three centuries.,The cream you bought will last for a very short while.,
"As the exam date approaches, she becomes a sort of hermit, spending all her time in her room.","As the exam date approaches, she becomes a sort of hermit, spending most of her time in her room.","This summer, she has been spending all her time in Europe.","As the exam date approaches, she becomes very extrovert and goes out a lot",
I've had to reinvent myself from the ruins of my choices.,I've had to make a new beginning from the bad outcome of my choices.,The house is built from the ruins of the old stables.,I am well off as a result of my choices.,
"Apparently, my fingers are made of butter tonight.","Apparently, my fingers are slippery tonight.",Something smothered in a sauce made of butter.,"Apparently, my fingers are dry and firm tonight.",
It is intolerable to live without my phone.,It is uncomfortable to live without my phone.,If the relationship becomes intolerable,I live perfectly well without my phone.,
I am exceedingly sorry.,I am really sorry.,The door was exceedingly big for that wall.,I don't care.,
Look at her furious fingers articulating words as she writes the report.,Look at her fast moving fingers articulating words as she writes her report.,The emperor was furious with the defeat.,Look at her slow fingers articulating words as she writes the report.,
The meeting was a nightmare.,The meeting was terrible.,He sleeps soundly without a nightmare.,The meeting was nice.,
My sister is a vortex of intelligence in space.,My sister is intelligent.,The generator can create a vortex of air in the space.,My sister is unclever,
"I'm so drunk, the world spinning around.","I'm so drunk, I feel dizzy.",The lesson was about the world spinning around its axis.,I'm sober and feel perfectly well and in control.,
You are slower than a snail.,You are very slow.,The big wheel moved slower than a snail.,You are very fast.,
"Your interpretation goes too far, it's a Pindaric flight.","Your interpretation goes too far, it lacks of unity.",That was the end of the pindaric flight.,Your interpretation makes sense with the parts fitting well together,
My parents would have about two hemorrhages apiece if I told anything personal about them.,My parents would have a fit if I told anything personal about them.,Patients were diagnosed with intracranial hemorrhages.,My parents would like if I told personal about them.,
We've been here countless times.,We've been here many times.,Cells divide countless times during a lifetime.,We've nevner been there.,
He has the charisma of a traffic cone.,He has little charisma.,He wears a hat in the shape of a traffic cone.,He has a lot of charisma.,
You guys are both less than zero help.,You guys are of no help.,The temperature is less than zero degrees.,You guys are very helpful.,
"But you are mute, mute as a fish.","But you are mute, quiet.","Of course he was mute as a fish, he was dead.","But you are noisy, speaking out loud.",
"Getting older helped me clarify the events of my childhood, without exceptions.",Getting older helped me clarify some childhood memories.,The law applies without exceptions.,Getting older made me forget about my childhood.,
I am crushed by a corrupt and criminal justice system.,I am being harmed by a criminal and corrupt justice system.,They remained terrified of being crushed by the mob.,I being helped by the fair justice system.,
I am in the middle of an emotional tornado.,I am in the middle of emotional turmoil.,He was in the middle of a tornado on the highway.,I am in the middle of an emotionally quiet period.,
The act of love strongly resembles torture.,The act of love strongly resembles severe pain.,Sometimes surgery resembles torture.,The act of love strongly resembles pleasure.,
A hundred thousand apologies would not be enough.,Many apologies would not be enough.,A hundred thousand people were killed here.,A single apology would be enough.,
His feet are colder than the arctic.,His feet are very cold.,The Antarctic is colder than the Arctic.,His feet are warm.,
"Well, you've got an empty head.","Well, you are unable to understand some things.",Brain areas were drawn on the image of an empty head.,"Well, you understand everything.",
Sometimes asking feels like firewalking.,Sometimes asking feels very dangerous.,The entertainment at the resort was firewalking.,Sometimes asking feels completely okay.,
Johnny worshipped the ground Dallas walked on.,Johnny was very fond of the ground Dallas walked on.,Johnny worshipped the statue of the reigning ruler.,John had no respect of the ground Dallas walked on.,
"You unreasonable, pompous, blustering, old windbag!","You unreasonable, pompous, blustering, old bigmouth!","When I blew into the windbag, it created an area of lower pressure.","You kind, quiet and discrete person.",
It's been a lifetime since I found someone nice to me.,It's been a long time since I found someone nice to me.,You will face a lifetime ban.,It's been only a short while since I met soneone nice to me.,
"Here I sit, sunk in my thoughts.","Here I sit, focused on my thoughts.",Lots of vessels sunk in the storm.,"Here I sit, without thinking.",
I'd rather French kiss a rattlesnake than miss a gym period.,I'd rather pay dearly than miss a gym period.,Do not try to French kiss a rattlesnake.,I don't care if I miss a gym period.,
I couldn't believe how large the size of the potatoes was.,I was impressed with how large the size of the potatoes was.,I couldn't believe their stories.,I was not impressed with how large the size of the potatoes was.,
You could have knocked me over with a feather.,You could have easily knocked me over.,Someone was tickling me with a feather.,You can't easily knock me over.,
I'm dissolving into a puddle.,I'm over-heated.,My pudding was slowly dissolving into a puddle of watery gravy.,I'm cold.,
"Their headmaster was omnipresent, as he seemed to be all around the school all the time.",Their headmaster seemed to be all around the school all the time.,A part of Europe is different for the omnipresent nature of its pollution.,Their headmaster was hardly ever seen around the school.,
My aim is as certain as the rising sun.,My aim is very certain.,"Outside the weather is beautiful, blue sky and rising sun.",I don't know what my aim is.,
My granpa snores louder than a faulty engine.,My grandpa snores very loudly.,It was a case of mea culpa rather than a faulty machine.,My grandpa sleeps very quietly.,
I could smell his hellish breath.,I could smell his horrible breath.,Hellish flames smothered the angelic figures in the painting.,I could smell his sweet breath.,
Your pride is a mortal sin.,Your pride is bad.,The Bible describes sins as mortal.,Your pride is a good thing.,
My admiration for him is deep as the ocean.,My admiration for him is profound.,His eyes are as blue as the ocean.,My admiration for him is not existing.,
"Well, dear, her hostess would reply with a frigid smile.","Well, dear, her hostess would reply with a cold smile.","In this frigid season, crowds lined up to buy milk.","Well, dear, her hostess would reply with a warm smile.",
Boys will gladly go to war for you.,Boys will happily do accept challenges for you.,Militias would go to war again.,Boys will not do a thing for you.,
"Me, the wife of that boorish, brainless man.","Me, the wife of that boorish, unwise man.",Search engines are brainless entities.,"Me, the wife of that clever man.",
"As a matter of fact, I'm all steamed up about it.","As a matter of fact, I'm all enthusiastic about it.",The window of the cafe was steamed up.,"As a matter of fact, I'm not interested in it.",
Tastiest roast of all times.,Tastiest roast I've had.,British Empire has been the largest of all times.,Tastiest roast sometimes.,
I mean this was Toyland in the midst of the depression.,I mean this was something fun in the midst of the depression.,"In his dreams, Toyland was a place where all the toys lived together.",This was a burden in the midst of the depression.,
You can search in heaven and earth but you'll not find me.,You can search everywhere but you'll not find me.,The described events in heaven and earth are related in a symbolic sense.,You can search nowhere but you'll not find me.,
ABU is hypnotically drawn to it.,ABU is drawn to it.,The victim is hypnotically put to sleep.,ABU is weakly drawn to it.,
People bend to his will.,People tend to do what he wants.,I had to bend to look under a low archway.,People disobey him.,
She can make me follow her with one word from her lips.,She can make me follow her easily.,The queen can put anyone to death with one word from her lips.,She can make me follow her afte a lot of talking.,
That girl is a marionette who is manipulated by what she sees on TV.,That girl is manipulated by what she sees on TV.,"I am fascinated by the construction, whether it is a marionette or a doll.",The girl has strong principles and is manipulated by what she sees on TV.,
He changed his mind in the blink of an eye.,He changed his mind very fast.,Optimal solutions are achieved by neural networks in the blink of an eye.,He changed his mind after a long time.,
"You won't beat this taste, it is insurmountable.","You won't beat this taste, it is amazing.",Intact skin is an insurmountable barrier to the virus.,"You won't beat this taste, it is common.",
Its golden roofs are brighter than the sun itself.,Its golden roofs are very bright.,There exists a system generating light brighter than the sun.,Its golden roofs are dark.,
I would recognize my sisters a day's march away.,I would recognize my sisters from a long distance.,The next settlement is a day's march away.,I would recognize my sisters from a close distance.,
"He is so majestic, when he wears a yellow shirt people yell: ""Hey taxi!""   ",He is so majestic.,"In New York, people yell ""Hey taxi!"" and they soon get a ride.",He is so majestic people don't see him.,
You're charged with high treason for telling mom I didn't have lunch!,You're in a lot of troubles for telling mum I didn't have lunch!,The murderer would be charged with high treason.,Thanks for telling mom I didn't have lunch!,
She's a difficult person to work with because she has no filters.,She's a difficult person to work with because she is very direct when conversing.,My camera has no filters.,She's a difficult person to work with because she is discrete.,
The study of beauty is a duel in which the artist cries out in terror.,The study of beauty is a duel in which the artist suffers.,"Sitting on her knees, the artis cries out in terror.",The study of beauty is a duel in which the artist finds happiness.,
You always concentrate my whole senses.,You have my attention.,My whole senses were on high alert.,You bore me.,
No one knows her. She's mysterious as the dark side of the moon.,No one knows her. She's very mysterious.,The dark side of the Moon is covered in craters.,No one knows her. She's very common.,
Another idea burst into flames.,Another idea gone wasted.,The bomb burst into flames.,Another idea was followed up on.,
"Stop using onion in this recipe, you dregs of mankind.",Stop using onion in this recipe you terrible people.,This judge does not tolerate robbers and other dregs of mankind.,Stop using onion in this recipe you nice people.,
Each of these girls is a perfect porcelain doll.,Each of these girls is delicate and lovely.,A perfect porcelain doll has no cracks.,Each of these girls is rough and coarse.,
They sell books by every author who has ever set pen to paper.,They sell books by a great number of authors.,Every poet who has ever set pen to paper knows how to write.,They sell books by few selected authors.,
The meal I prepared contains a million calories!,The meal I prepared is rich in calories!,I can eat about a million calories a year and maintain my weight.,The meal I prepared is light.,
Scientists are light years away from understanding the human brain.,Scientists are far away from understanding the human brain.,Hydrogen shows the cloud to be light years away from the earth.,Scientists are close to understanding the human brain.,
To infinity and beyond Buzz.,Let's go as far as we can Buzz.,,Let's stay here Buzz.,
John invariably knows the right thing to say.,John usually knows the right thing to say.,Her associates were invariably businessmen.,John rarely knows the right thing to say.,
A sea of people surrounded the stage.,A large number of people surrounded the stage.,The sea soughed on the shore.,Few people surrounded the stage.,
Such an unscrupulous person...he's a pig.,Such an unscrupulous person...he's disrespectful.,"Mr. Babe is my pet, he's a pig from Guinea.",Such an unscrupulous person...he's a darling.,
Look how grown up!Only yesterday you were on your tricycle.,Look how grown up! It wasn't that long ago that you were on your tricycle.,"Only yesterday, I ordered the registration of children.",Look how grown up! Ages ago you were on your tricycle.,
Sleeping on this pillow is sleeping on a cloud.,Sleeping on this pillow is sleeping on something very soft.,Flying over a cloud is not risky.,Sleeping on this pillow is sleeping on a rock.,
For a few dollars they would start a war.,For a few dollars they would fight.,They would start a war to take the counties.,For a few dollars they would do nothing.,
The big bells as loud as the thunder.,The big bells very loud.,All those weapons emitted a blast as loud as the thunder.,The big bells are hardly audible.,
That child is the devil incarnate.,That child is a trouble maker.,The snake in the Genesis was the devil incarnate.,That child is an angel.,
They are a stingy family. There are like trillions of savings under one roof!,They are a stingy family. There are a lot of savings under one roof!,There are like trillions of possible combinations of such digits.,They are a stingy family. There have few savings.,
"When you open this map, you own the city.","When you open the map, you know a lot about the city.",Freehold means you own the land.,"When you open this map, you know nothing about the city.",
"I tried to explain myself, but she is a waxy-eared person.","I tried to explain myself, but she doesn't want to listen.",Waxy-eared persons should go to the otolaryngologist.,"I tried to explain myself, but she heard me well.",
I write my diary when I feel crushed by the weight of life.,I write my diary when I feel under pressure.,The bin is crushed by the weight of the roof.,I write my diary when I feel happy and lighthearted,
My sister uses so much makeup; she broke a chisel trying to get it off last night!,My sister uses so much makeup; she had difficulty trying to get it off last night!,My sister broke a chisel trying to carve wood.,"My sister uses a lot of makeup, but she does not have difficulties getting it off",
"My aunt is so fat that when she walks by the TV, I miss three shows.","My aunt is so fat that when she walks by the TV, I can't see the screen.","If she comes for dinner, I'll miss three shows.","My aunt is very fat but when she walks by the TV, I can still see the screen",
The old man is a dinosaur.,The old man is very old.,A paleontologist was holding the bone of a dinosaur.,The old man is youthful,
"My best friend is so forgetful, I sometimes have to remind her what her name is.","My best friend is so forgetful, I have to remind her of many things.",I forgot what her name is.,"My best friend is not very forgetful, I don't have to remind her of many things.",
Your kindness turns me upside down.,Your kindness astounds me.,I like it when a roller coaster turns me upside down.,I take your kindness as a matter of course,
Cowards die many times before their death.,Cowards do not live their lives to the fullest.,Your character die many times in the game.,"Cowards live a long, safe life",
He lives far away - on the other side of the Galaxy.,He lives far away - a large distance from here.,Astronomers have found five Cepheids on the other side of the galaxy.,He lives just around the corner.,
Peter's essay constituted yet another infinite monologue.,Peter's essay constituted yet another long monologue.,Scientists study the infinite variety of combinations of neurones.,Peter's essay was short and to the point.,
"During the debate, the president ate reporters and photographers.","During the debate, the president treated reporters and photographers badly.",The president ate pasta for dinner.,"During the debate, the president was kind and accomodating to the reporters and photographers.",
"You must come out of bed, I've walked a thousand miles to spend some time with you.","You must come out of bed, I've walked a long way to spend some time with you.",This street is three thousand miles long.,You must come out of bed even if I only walked a short distance to spend time with you. ,
"Right now, with the sword hanging over my head, I don't have any kind of financial support.","Right now, in this risky situation, I don't have any kind of financial support.","There's a sward hanging over my head, there on the wall.","Right now I am very secure, I have plenty financial support.",
"She's bothered by dust, so she's unceasingly cleaning the house.","She's bothered by dust, so she's frequently cleaning the house.",The universe is unceasingly moving toward more disorder.,"She's bothered by dust, but she still does not clean her house very often.",
Let me see an abyss of knowledge.,Let me see a vast amount of knowledge.,Invite a seafarer and explore the abyss of the ocean together.,Let me see a little bit of knowledge.,
I'll persevere till the stars drop from the sky.,I'll persevere for a long time.,You could see falling stars that drop from the top of the picture.,I'll give up immediately.,
There lived a man as big as a barge.,There lived a large man.,The dinosaur was as big as a barge.,There lived a tiny man.,
I've got a thorn in my heart.,I've got sorrow in my heart.,I have a thorn stuck in my finger.,I've got joy in my heart.,
Perfection assassinates creativity.,Perfection is not good for creativity.,The wrestler was asked to assassinate his opponent.,Perfection boosts creativity.,
I don't think a herd of elephants would be as noisy as this class is today!,This class is very noisy today!,A herd of elephants was drinking from a lake.,This class is perfectly quiet today.,
He's the worst man on earth.,He is a bad man.,This city is the worst on earth with respect to air pollution levels.,He is a very good man.,
She's like vomiting all her feelings out with hate.,She's expressing all her feelings out loud with hate.,Vomiting accompany the first months of pregnancy.,"She is expressing all her feelings quietly, with love. ",
Reading dog food labels is often like reading hieroglyphics.,Reading dog food labels is hard to understand.,Researchers have succeeded in reading Egyptian hieroglyphics.,Reading dog food labels is easy.,
I'll be crystal clear: I don't like him.,I'll be clear: I don't like him.,The shelves contained crystal clear glasses.,I might sound vague but I really like him.,
Turning your face away is a punch in the gut.,Turning your face away is insulting.,The boxer threw a punch in the gut of his opponent.,Turning your face away is ok because it shows that you are embarassed.,
The painter knows that looking at the beautiful landscape is an orgasmic experience.,The painter knows that looking at the beautiful landscape is an enjoyable experience.,Low orgasmic experience has been related to childhood loss.,The painter knows that looking at the beautiful landscape can be boring. ,
Too many clothes in this Indian Summer and I am suddenly in a bath of sweat.,Too many clothes in this Indian summer and I am sweating a lot.,I sit in a bath of warm water.,Light clothes in this Indian summer keep you cool.,
The president has fought tooth and nail to be reelected.,The president has fought really hard to be reelected.,The tooth and nail brushes were manufactured by the firm of Addis.,The president has not really fought to be reelected.,
"I'm a burst of colors today, I'm wearing a yellow t-shirt and red trousers.","I'm very colorful today, I'm wearing a yellow t-shirt and red trousers.",There is a burst of color in the messy room of the painter.,"I am a colourless today, I'm wearing a beige t-shirt and beige trousers.",
She's a dictator in our house.,She's a ruler in our house.,The military dictator urged supporters to defeat the indecisive ones.,She does not have any power in our house.,
Molasses buckets appeared from nowhere.,Molasses buckets appeared unexpectedly.,One view is that the big-bang that came from nowhere.,Molasses buckets appeared when they were expected.,
He's my favourite person in the world. The rest is drips.,He's my favourite person in the world. The rest is not important.,When it brews there is drips of water coming out.,He's my favourite person in the world. But the rest is also very important.,
"You get into that University, you won't get out alive.","You get into that University, you won't make it.","Life is cruel, after all you won't get out alive!","You get into that University, you will come out as a winner.",
This discovery is like a tender newborn to young scientists.,This discovery is very precious to young scientists.,The tender newborn is sleeping quietly.,This discovery is not crucial to young scientists.,
